AnGamGeneStableID	AnGamTranscriptstableID	AnFunGeneStableID	AnFunTranscriptStableID	GeneName	GeneClass
AGAP012533	AGAP012533-RA	AFUN006295	AFUN006295-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007966	AGAP007966-RA	AFUN006327	AFUN006327-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007966	AGAP007966-RB	AFUN006327	AFUN006327-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007966	AGAP007966-RA	AFUN006327	AFUN006327-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007966	AGAP007966-RB	AFUN006327	AFUN006327-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006891	AGAP006891-RA	AFUN006374	AFUN006374-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006891	AGAP006891-RA	AFUN006374	AFUN006374-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006918	AGAP006918-RA	AFUN006406	AFUN006406-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006918	AGAP006918-RA	AFUN006406	AFUN006406-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006918	AGAP006918-RA	AFUN006406	AFUN006406-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RB	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RA	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RB	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RA	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RB	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006936	AGAP006936-RA	AFUN006424	AFUN006424-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012515	AGAP012515-RA	AFUN006518	AFUN006518-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012515	AGAP012515-RA	AFUN006518	AFUN006518-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008955	AGAP008955-RA	AFUN006556	AFUN006556-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008955	AGAP008955-RA	AFUN006556	AFUN006556-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008653	AGAP008653-RA	AFUN006599	AFUN006599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008653	AGAP008653-RA	AFUN006599	AFUN006599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010672	AGAP010672-RA	AFUN007237	AFUN007237-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010672	AGAP010672-RA	AFUN007237	AFUN007237-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006456	AGAP006456-RA	AFUN007517	AFUN007517-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006456	AGAP006456-RA	AFUN007517	AFUN007517-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001823	AGAP001823-RA	AFUN007994	AFUN007994-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001823	AGAP001823-RA	AFUN007994	AFUN007994-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001823	AGAP001823-RA	AFUN007994	AFUN007994-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001823	AGAP001823-RA	AFUN007994	AFUN007994-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002889	AGAP002889-RA	AFUN008005	AFUN008005-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002889	AGAP002889-RA	AFUN008005	AFUN008005-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001744	AGAP001744-RA	AFUN008117	AFUN008117-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001744	AGAP001744-RA	AFUN008117	AFUN008117-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000618	AGAP000618-RA	AFUN008142	AFUN008142-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000618	AGAP000618-RA	AFUN008142	AFUN008142-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010298	AGAP010298-RA	AFUN008184	AFUN008184-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010298	AGAP010298-RA	AFUN008184	AFUN008184-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010298	AGAP010298-RA	AFUN008184	AFUN008184-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003599	AGAP003599-RA	AFUN008213	AFUN008213-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003599	AGAP003599-RA	AFUN008213	AFUN008213-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002884	AGAP002884-RA	AFUN008376	AFUN008376-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002884	AGAP002884-RA	AFUN008376	AFUN008376-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP004867	AGAP004867-RA	AFUN008382	AFUN008382-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP004867	AGAP004867-RA	AFUN008382	AFUN008382-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009602	AGAP009602-RA	AFUN008881	AFUN008881-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009602	AGAP009602-RA	AFUN008881	AFUN008881-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009602	AGAP009602-RA	AFUN008881	AFUN008881-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005621	AGAP005621-RA	AFUN008999	AFUN008999-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005621	AGAP005621-RA	AFUN008999	AFUN008999-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN009351	AFUN009351-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN009351	AFUN009351-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN009351	AFUN009351-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011159	AGAP011159-RA	AFUN009535	AFUN009535-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011159	AGAP011159-RA	AFUN009535	AFUN009535-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005098	AGAP005098-RA	AFUN009619	AFUN009619-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005098	AGAP005098-RA	AFUN009619	AFUN009619-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005134	AGAP005134-RA	AFUN009656	AFUN009656-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005134	AGAP005134-RA	AFUN009656	AFUN009656-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007297	AGAP007297-RA	AFUN009747	AFUN009747-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007297	AGAP007297-RA	AFUN009747	AFUN009747-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007297	AGAP007297-RA	AFUN009747	AFUN009747-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007309	AGAP007309-RA	AFUN009761	AFUN009761-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007309	AGAP007309-RA	AFUN009761	AFUN009761-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007309	AGAP007309-RA	AFUN009761	AFUN009761-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007768	AGAP007768-RA	AFUN009820	AFUN009820-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007768	AGAP007768-RA	AFUN009820	AFUN009820-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007780	AGAP007780-RB	AFUN009833	AFUN009833-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007780	AGAP007780-RA	AFUN009833	AFUN009833-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007780	AGAP007780-RB	AFUN009833	AFUN009833-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007780	AGAP007780-RA	AFUN009833	AFUN009833-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008884	AGAP008884-RA	AFUN010008	AFUN010008-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008884	AGAP008884-RA	AFUN010008	AFUN010008-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008884	AGAP008884-RA	AFUN010008	AFUN010008-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000109	AGAP000109-RA	AFUN010388	AFUN010388-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000109	AGAP000109-RA	AFUN010388	AFUN010388-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN010500	AFUN010500-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN010500	AFUN010500-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN010500	AFUN010500-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN010500	AFUN010500-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN010502	AFUN010502-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN010502	AFUN010502-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN010502	AFUN010502-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN010502	AFUN010502-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RC	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RB	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RD	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RA	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RC	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RB	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RD	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RA	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RC	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RB	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RD	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RA	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RC	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RB	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RD	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003153	AGAP003153-RA	AFUN011281	AFUN011281-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011829	AGAP011829-RA	AFUN011512	AFUN011512-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011829	AGAP011829-RA	AFUN011512	AFUN011512-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005845	AGAP005845-RA	AFUN011538	AFUN011538-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP005845	AGAP005845-RA	AFUN011538	AFUN011538-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RA	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RB	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RA	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RB	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RA	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RB	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RA	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001653	AGAP001653-RB	AFUN011631	AFUN011631-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001711	AGAP001711-RA	AFUN011752	AFUN011752-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001711	AGAP001711-RA	AFUN011752	AFUN011752-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006879	AGAP006879-RA	AFUN015783	AFUN015783-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006879	AGAP006879-RA	AFUN015783	AFUN015783-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP006879	AGAP006879-RA	AFUN015783	AFUN015783-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008724	AGAP008724-RA	AFUN016065	AFUN016065-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP008724	AGAP008724-RA	AFUN016065	AFUN016065-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002020	AGAP002020-RA	AFUN016097	AFUN016097-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002020	AGAP002020-RA	AFUN016097	AFUN016097-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003588	AGAP003588-RA	AFUN016262	AFUN016262-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003588	AGAP003588-RA	AFUN016262	AFUN016262-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009072	AGAP009072-RA	AFUN016416	AFUN016416-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009072	AGAP009072-RA	AFUN016416	AFUN016416-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009072	AGAP009072-RA	AFUN016416	AFUN016416-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009072	AGAP009072-RA	AFUN016416	AFUN016416-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001587	AGAP001587-RA	AFUN016667	AFUN016667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001587	AGAP001587-RA	AFUN016667	AFUN016667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001588	AGAP001588-RA	AFUN016668	AFUN016668-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001588	AGAP001588-RA	AFUN016668	AFUN016668-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP001588	AGAP001588-RA	AFUN016668	AFUN016668-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN018492	AFUN018492-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN018492	AFUN018492-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN018492	AFUN018492-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011829	AGAP011829-RA	AFUN018521	AFUN018521-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011829	AGAP011829-RA	AFUN018521	AFUN018521-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP004710	AGAP004710-RA	AFUN018560	AFUN018560-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP004710	AGAP004710-RA	AFUN018560	AFUN018560-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN018592	AFUN018592-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN018592	AFUN018592-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN018592	AFUN018592-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011131	AGAP011131-RA	AFUN018592	AFUN018592-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN019075	AFUN019075-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN019075	AFUN019075-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012188	AGAP012188-RA	AFUN019075	AFUN019075-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN019128	AFUN019128-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN019128	AFUN019128-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN019128	AFUN019128-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP011130	AGAP011130-RA	AFUN019128	AFUN019128-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN019130	AFUN019130-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN019130	AFUN019130-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012106	AGAP012106-RA	AFUN019130	AFUN019130-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010039	AGAP010039-RA	AFUN019332	AFUN019332-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010039	AGAP010039-RA	AFUN019332	AFUN019332-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003367	AGAP003367-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003367	AGAP003367-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP003367	AGAP003367-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012823	AGAP012823-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012823	AGAP012823-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP012823	AGAP012823-RA	AFUN019599	AFUN019599-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009526	AGAP009526-RA	AFUN019626	AFUN019626-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP009526	AGAP009526-RA	AFUN019626	AFUN019626-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000851	AGAP000851-RA	AFUN019973	AFUN019973-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000851	AGAP000851-RA	AFUN019973	AFUN019973-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010039	AGAP010039-RA	AFUN020926	AFUN020926-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010039	AGAP010039-RA	AFUN020926	AFUN020926-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007208	AGAP007208-RA	AFUN020998	AFUN020998-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP007208	AGAP007208-RA	AFUN020998	AFUN020998-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002170	AGAP002170-RA	AFUN021541	AFUN021541-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002170	AGAP002170-RA	AFUN021541	AFUN021541-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002170	AGAP002170-RA	AFUN021541	AFUN021541-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002170	AGAP002170-RA	AFUN021541	AFUN021541-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RB	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RA	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RB	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RA	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RB	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP010464	AGAP010464-RA	AFUN021667	AFUN021667-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002630	AGAP002630-RA	AFUN021923	AFUN021923-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP002630	AGAP002630-RA	AFUN021923	AFUN021923-RA	Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RD			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RB			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RC			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RD			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RB			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000260	AGAP000260-RC			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000849	AGAP000849-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP000849	AGAP000849-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP002105	AGAP002105-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP002105	AGAP002105-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP002245	AGAP002245-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP002245	AGAP002245-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP008850	AGAP008850-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP008850	AGAP008850-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP012727	AGAP012727-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP012727	AGAP012727-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP012727	AGAP012727-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP012727	AGAP012727-RA			Oxidative phosphorylation	Oxidative phosphorylation
AGAP010187	AGAP010187-RA	AFUN001879	AFUN001879-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP010187	AGAP010187-RA	AFUN001879	AFUN001879-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP009562	AGAP009562-RA	AFUN002790	AFUN002790-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP009562	AGAP009562-RA	AFUN002790	AFUN002790-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP009562	AGAP009562-RA	AFUN002790	AFUN002790-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP009279	AGAP009279-RA	AFUN003347	AFUN003347-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP009279	AGAP009279-RA	AFUN003347	AFUN003347-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP002674	AGAP002674-RA	AFUN003928	AFUN003928-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP002674	AGAP002674-RA	AFUN003928	AFUN003928-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RC	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RA	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP006254	AGAP006254-RB	AFUN004235	AFUN004235-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP010784	AGAP010784-RA	AFUN004623	AFUN004623-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP010784	AGAP010784-RA	AFUN004623	AFUN004623-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
AGAP007604	AGAP007604-RA	AFUN005798	AFUN005798-RA	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis
